date,service,daily_cost_usd
2016-09-28,AWS_RDS_Database,109.16
2016-09-29,AWS_EKS_Kubernetes,157.4
2016-09-29,AWS_RDS_Database,94.34
2016-09-30,AWS_EKS_Kubernetes,236.31
2016-09-30,AWS_RDS_Database,104.93
2016-10-01,AWS_EKS_Kubernetes,156.36
2016-10-01,AWS_RDS_Database,92.44
2016-10-02,AWS_EKS_Kubernetes,222.96
2016-10-02,AWS_RDS_Database,105.5
2016-10-03,AWS_EKS_Kubernetes,197.22
2016-10-03,AWS_RDS_Database,84.78
2016-10-04,AWS_EKS_Kubernetes,226.08
2016-10-04,AWS_RDS_Database,102.45
2016-10-05,AWS_EKS_Kubernetes,199.38
2016-10-05,AWS_RDS_Database,100.91
2016-10-06,AWS_EKS_Kubernetes,152.54
2016-10-06,AWS_RDS_Database,84.32
2016-10-07,AWS_EKS_Kubernetes,213.64
2016-10-07,AWS_RDS_Database,92.57
2016-10-08,AWS_EKS_Kubernetes,240.76
2016-10-08,AWS_RDS_Database,89.97
2016-10-09,AWS_EKS_Kubernetes,225.56
2016-10-09,AWS_RDS_Database,89.15
2016-10-10,AWS_EKS_Kubernetes,178.98
2016-10-10,AWS_RDS_Database,86.45
2016-10-11,AWS_EKS_Kubernetes,230.81
2016-10-11,AWS_RDS_Database,105.34
2016-10-12,AWS_EKS_Kubernetes,230.37
2016-10-12,AWS_RDS_Database,87.46
2016-10-13,AWS_EKS_Kubernetes,203.93
2016-10-13,AWS_RDS_Database,112.3
2016-10-14,AWS_EKS_Kubernetes,181.8
2016-10-14,AWS_RDS_Database,84.4
2016-10-15,AWS_EKS_Kubernetes,192.71
2016-10-15,AWS_RDS_Database,112.72
2016-10-16,AWS_EKS_Kubernetes,150.7
2016-10-16,AWS_RDS_Database,100.43
2016-10-17,AWS_EKS_Kubernetes,172.21
2016-10-17,AWS_RDS_Database,84.79
2016-10-18,AWS_EKS_Kubernetes,244.29
2016-10-18,AWS_RDS_Database,92.93
2016-10-19,AWS_EKS_Kubernetes,1517.29
2016-10-19,AWS_RDS_Database,94.55
2016-10-20,AWS_EKS_Kubernetes,175.18
2016-10-20,AWS_RDS_Database,99.89
2016-10-21,AWS_EKS_Kubernetes,178.48
2016-10-21,AWS_RDS_Database,81.48
2016-10-22,AWS_EKS_Kubernetes,200.27
2016-10-22,AWS_RDS_Database,82.06
2016-10-23,AWS_EKS_Kubernetes,240.83
2016-10-23,AWS_RDS_Database,89.58
2016-10-24,AWS_EKS_Kubernetes,198.95
2016-10-24,AWS_RDS_Database,119.43
2016-10-25,AWS_EKS_Kubernetes,217.21
2016-10-25,AWS_RDS_Database,110.46
2016-10-26,AWS_EKS_Kubernetes,222.82
2016-10-26,AWS_RDS_Database,94.71
2016-10-27,AWS_EKS_Kubernetes,213.35
2016-10-27,AWS_RDS_Database,101.43
2016-10-28,AWS_EKS_Kubernetes,233.53
2016-10-28,AWS_RDS_Database,92.83
2016-10-29,AWS_EKS_Kubernetes,154.08
2016-10-29,AWS_RDS_Database,103.64
2016-10-30,AWS_EKS_Kubernetes,151.66
2016-10-30,AWS_RDS_Database,100.48
2016-10-31,AWS_EKS_Kubernetes,214.52
2016-10-31,AWS_RDS_Database,86.97
2016-11-01,AWS_EKS_Kubernetes,188.67
2016-11-01,AWS_RDS_Database,117.47
2016-11-02,AWS_EKS_Kubernetes,184.11
2016-11-02,AWS_RDS_Database,84.54
2016-11-03,AWS_EKS_Kubernetes,237.73
2016-11-03,AWS_RDS_Database,90.32
2016-11-04,AWS_EKS_Kubernetes,231.72
2016-11-04,AWS_RDS_Database,102.21
2016-11-05,AWS_EKS_Kubernetes,174.19
2016-11-05,AWS_RDS_Database,83.72
2016-11-06,AWS_EKS_Kubernetes,240.04
2016-11-06,AWS_RDS_Database,105.32
2016-11-07,AWS_EKS_Kubernetes,184.92
2016-11-07,AWS_RDS_Database,109.04
2016-11-08,AWS_EKS_Kubernetes,238.71
2016-11-08,AWS_RDS_Database,111.2
2016-11-09,AWS_EKS_Kubernetes,158.41
2016-11-09,AWS_RDS_Database,86.47
2016-11-10,AWS_EKS_Kubernetes,210.64
2016-11-10,AWS_RDS_Database,80.37
2016-11-11,AWS_EKS_Kubernetes,216.35
2016-11-11,AWS_RDS_Database,80.2
2016-11-12,AWS_EKS_Kubernetes,204.87
2016-11-12,AWS_RDS_Database,107.68
2016-11-13,AWS_EKS_Kubernetes,172.43
2016-11-13,AWS_RDS_Database,108.49
2016-11-14,AWS_EKS_Kubernetes,182.54
2016-11-14,AWS_RDS_Database,109.86
2016-11-15,AWS_EKS_Kubernetes,234.92
2016-11-15,AWS_RDS_Database,106.3
2016-11-16,AWS_EKS_Kubernetes,159.37
2016-11-16,AWS_RDS_Database,94.71
2016-11-17,AWS_EKS_Kubernetes,174.4
2016-11-17,AWS_RDS_Database,118.92
2016-11-18,AWS_EKS_Kubernetes,239.2
2016-11-18,AWS_RDS_Database,105.25
2016-11-19,AWS_EKS_Kubernetes,200.26
2016-11-19,AWS_RDS_Database,103.08
2016-11-20,AWS_EKS_Kubernetes,169.52
2016-11-20,AWS_RDS_Database,108.9
2016-11-21,AWS_EKS_Kubernetes,152.43
2016-11-21,AWS_RDS_Database,105.82
2016-11-22,AWS_EKS_Kubernetes,244.05
2016-11-22,AWS_RDS_Database,118.16
2016-11-23,AWS_EKS_Kubernetes,187.02
2016-11-23,AWS_RDS_Database,80.62
2016-11-24,AWS_EKS_Kubernetes,1264.7
2016-11-24,AWS_RDS_Database,118.67
2016-11-25,AWS_EKS_Kubernetes,179.44
2016-11-25,AWS_RDS_Database,95.4
2016-11-26,AWS_EKS_Kubernetes,181.69
2016-11-26,AWS_RDS_Database,86.78
2016-11-27,AWS_EKS_Kubernetes,243.62
2016-11-27,AWS_RDS_Database,107.84
2016-11-28,AWS_EKS_Kubernetes,705.99
2016-11-28,AWS_RDS_Database,104.6
2016-11-29,AWS_EKS_Kubernetes,201.83
2016-11-29,AWS_RDS_Database,115.09
2016-11-30,AWS_EKS_Kubernetes,219.7
2016-11-30,AWS_RDS_Database,108.1
2016-12-01,AWS_EKS_Kubernetes,179.36
2016-12-01,AWS_RDS_Database,112.37
2016-12-02,AWS_EKS_Kubernetes,236.71
2016-12-02,AWS_RDS_Database,116.53
2016-12-03,AWS_EKS_Kubernetes,200.15
2016-12-03,AWS_RDS_Database,111.93
2016-12-04,AWS_EKS_Kubernetes,220.2
2016-12-04,AWS_RDS_Database,111.83
2016-12-05,AWS_EKS_Kubernetes,183.8
2016-12-05,AWS_RDS_Database,95.02
2016-12-06,AWS_EKS_Kubernetes,207.83
2016-12-06,AWS_RDS_Database,81.44
2016-12-07,AWS_EKS_Kubernetes,204.26
2016-12-07,AWS_RDS_Database,91.46
2016-12-08,AWS_EKS_Kubernetes,153.05
2016-12-08,AWS_RDS_Database,81.49
2016-12-09,AWS_EKS_Kubernetes,186.02
2016-12-09,AWS_RDS_Database,85.08
2016-12-10,AWS_EKS_Kubernetes,227.0
2016-12-10,AWS_RDS_Database,88.63
2016-12-11,AWS_EKS_Kubernetes,158.53
2016-12-11,AWS_RDS_Database,82.07
2016-12-12,AWS_EKS_Kubernetes,204.06
2016-12-12,AWS_RDS_Database,105.5
2016-12-13,AWS_EKS_Kubernetes,247.59
2016-12-13,AWS_RDS_Database,100.65
2016-12-14,AWS_EKS_Kubernetes,229.52
2016-12-14,AWS_RDS_Database,90.83
2016-12-15,AWS_EKS_Kubernetes,1027.25
2016-12-15,AWS_RDS_Database,81.01
2016-12-16,AWS_EKS_Kubernetes,219.6
2016-12-16,AWS_RDS_Database,96.36
2016-12-17,AWS_EKS_Kubernetes,165.64
2016-12-17,AWS_RDS_Database,90.01
2016-12-18,AWS_EKS_Kubernetes,221.46
2016-12-18,AWS_RDS_Database,106.41
2016-12-19,AWS_EKS_Kubernetes,245.49
2016-12-19,AWS_RDS_Database,109.52
2016-12-20,AWS_EKS_Kubernetes,211.17
2016-12-20,AWS_RDS_Database,96.78
2016-12-21,AWS_EKS_Kubernetes,185.6
2016-12-21,AWS_RDS_Database,110.31
2016-12-22,AWS_EKS_Kubernetes,161.61
2016-12-22,AWS_RDS_Database,81.84
2016-12-23,AWS_EKS_Kubernetes,235.55
2016-12-23,AWS_RDS_Database,108.15
2016-12-24,AWS_EKS_Kubernetes,159.78
2016-12-24,AWS_RDS_Database,99.66
2016-12-25,AWS_EKS_Kubernetes,167.32
2016-12-25,AWS_RDS_Database,97.35
2016-12-26,AWS_EKS_Kubernetes,211.59
2016-12-26,AWS_RDS_Database,105.4
2016-12-27,AWS_EKS_Kubernetes,187.46
2016-12-27,AWS_RDS_Database,105.03
2016-12-28,AWS_EKS_Kubernetes,235.65
2016-12-28,AWS_RDS_Database,106.35
2016-12-29,AWS_EKS_Kubernetes,157.06
2016-12-29,AWS_RDS_Database,105.7
2016-12-30,AWS_EKS_Kubernetes,208.58
2016-12-30,AWS_RDS_Database,117.61
2016-12-31,AWS_EKS_Kubernetes,188.82
2016-12-31,AWS_RDS_Database,105.73
2017-01-01,AWS_EKS_Kubernetes,204.56
2017-01-01,AWS_RDS_Database,117.66
2017-01-02,AWS_EKS_Kubernetes,246.12
2017-01-02,AWS_RDS_Database,116.21
2017-01-03,AWS_EKS_Kubernetes,156.94
2017-01-03,AWS_RDS_Database,84.03
2017-01-04,AWS_EKS_Kubernetes,159.44
2017-01-04,AWS_RDS_Database,107.32
2017-01-05,AWS_EKS_Kubernetes,181.9
2017-01-05,AWS_RDS_Database,113.8
2017-01-06,AWS_EKS_Kubernetes,231.45
2017-01-06,AWS_RDS_Database,91.27
2017-01-07,AWS_EKS_Kubernetes,219.67
2017-01-07,AWS_RDS_Database,105.16
2017-01-08,AWS_EKS_Kubernetes,223.51
2017-01-08,AWS_RDS_Database,112.14
2017-01-09,AWS_EKS_Kubernetes,167.74
2017-01-09,AWS_RDS_Database,110.02
2017-01-10,AWS_EKS_Kubernetes,249.05
2017-01-10,AWS_RDS_Database,96.5
2017-01-11,AWS_EKS_Kubernetes,227.64
2017-01-11,AWS_RDS_Database,93.63
2017-01-12,AWS_EKS_Kubernetes,235.84
2017-01-12,AWS_RDS_Database,97.16
2017-01-13,AWS_EKS_Kubernetes,225.45
2017-01-13,AWS_RDS_Database,84.12
2017-01-14,AWS_EKS_Kubernetes,200.53
2017-01-14,AWS_RDS_Database,113.06
2017-01-15,AWS_EKS_Kubernetes,239.55
2017-01-15,AWS_RDS_Database,95.57
2017-01-16,AWS_EKS_Kubernetes,240.54
2017-01-16,AWS_RDS_Database,83.65
2017-01-17,AWS_EKS_Kubernetes,245.01
2017-01-17,AWS_RDS_Database,118.02
2017-01-18,AWS_EKS_Kubernetes,213.18
2017-01-18,AWS_RDS_Database,97.94
2017-01-19,AWS_EKS_Kubernetes,182.87
2017-01-19,AWS_RDS_Database,106.9
2017-01-20,AWS_EKS_Kubernetes,229.16
2017-01-20,AWS_RDS_Database,111.58
2017-01-21,AWS_EKS_Kubernetes,199.44
2017-01-21,AWS_RDS_Database,82.3
2017-01-22,AWS_EKS_Kubernetes,194.15
2017-01-22,AWS_RDS_Database,115.51
2017-01-23,AWS_EKS_Kubernetes,161.71
2017-01-23,AWS_RDS_Database,85.72
2017-01-24,AWS_EKS_Kubernetes,211.82
2017-01-24,AWS_RDS_Database,84.04
2017-01-25,AWS_EKS_Kubernetes,220.1
2017-01-25,AWS_RDS_Database,82.91
2017-01-26,AWS_EKS_Kubernetes,220.62
2017-01-26,AWS_RDS_Database,83.25
2017-01-27,AWS_EKS_Kubernetes,248.66
2017-01-27,AWS_RDS_Database,94.97
2017-01-28,AWS_EKS_Kubernetes,1447.84
2017-01-28,AWS_RDS_Database,117.89
2017-01-29,AWS_EKS_Kubernetes,187.63
2017-01-29,AWS_RDS_Database,83.34
2017-01-30,AWS_EKS_Kubernetes,205.84
2017-01-30,AWS_RDS_Database,96.97
2017-01-31,AWS_EKS_Kubernetes,161.12
2017-01-31,AWS_RDS_Database,99.71
2017-02-01,AWS_EKS_Kubernetes,196.87
2017-02-01,AWS_RDS_Database,82.25
2017-02-02,AWS_EKS_Kubernetes,161.75
2017-02-02,AWS_RDS_Database,105.97
2017-02-03,AWS_EKS_Kubernetes,208.34
2017-02-03,AWS_RDS_Database,118.49
2017-02-04,AWS_EKS_Kubernetes,178.57
2017-02-04,AWS_RDS_Database,114.74
2017-02-05,AWS_EKS_Kubernetes,1017.18
2017-02-05,AWS_RDS_Database,80.49
2017-02-06,AWS_EKS_Kubernetes,1009.39
2017-02-06,AWS_RDS_Database,101.11
2017-02-07,AWS_EKS_Kubernetes,205.39
2017-02-07,AWS_RDS_Database,118.77
2017-02-08,AWS_EKS_Kubernetes,212.94
2017-02-08,AWS_RDS_Database,107.83
2017-02-09,AWS_EKS_Kubernetes,212.76
2017-02-09,AWS_RDS_Database,103.37
2017-02-10,AWS_EKS_Kubernetes,1030.94
2017-02-10,AWS_RDS_Database,91.24
2017-02-11,AWS_EKS_Kubernetes,195.57
2017-02-11,AWS_RDS_Database,104.81
2017-02-12,AWS_EKS_Kubernetes,168.81
2017-02-12,AWS_RDS_Database,98.55
2017-02-13,AWS_EKS_Kubernetes,1449.94
2017-02-13,AWS_RDS_Database,83.11
2017-02-14,AWS_EKS_Kubernetes,219.82
2017-02-14,AWS_RDS_Database,101.44
2017-02-15,AWS_EKS_Kubernetes,231.38
2017-02-15,AWS_RDS_Database,107.39
2017-02-16,AWS_EKS_Kubernetes,241.09
2017-02-16,AWS_RDS_Database,112.9
2017-02-17,AWS_EKS_Kubernetes,222.57
2017-02-17,AWS_RDS_Database,104.54
2017-02-18,AWS_EKS_Kubernetes,243.27
2017-02-18,AWS_RDS_Database,114.64
2017-02-19,AWS_EKS_Kubernetes,152.64
2017-02-19,AWS_RDS_Database,95.06
2017-02-20,AWS_EKS_Kubernetes,248.73
2017-02-20,AWS_RDS_Database,86.02
2017-02-21,AWS_EKS_Kubernetes,188.09
2017-02-21,AWS_RDS_Database,118.8
2017-02-22,AWS_EKS_Kubernetes,233.83
2017-02-22,AWS_RDS_Database,98.75
2017-02-23,AWS_EKS_Kubernetes,177.34
2017-02-23,AWS_RDS_Database,82.26
2017-02-24,AWS_EKS_Kubernetes,1310.56
2017-02-24,AWS_RDS_Database,119.99
2017-02-25,AWS_EKS_Kubernetes,226.9
2017-02-25,AWS_RDS_Database,117.79
2017-02-26,AWS_EKS_Kubernetes,174.73
2017-02-26,AWS_RDS_Database,98.02
2017-02-27,AWS_EKS_Kubernetes,245.41
2017-02-27,AWS_RDS_Database,104.25
2017-02-28,AWS_EKS_Kubernetes,217.17
2017-02-28,AWS_RDS_Database,104.73
2017-03-01,AWS_EKS_Kubernetes,161.36
2017-03-01,AWS_RDS_Database,106.86
2017-03-02,AWS_EKS_Kubernetes,227.23
2017-03-02,AWS_RDS_Database,100.81
2017-03-03,AWS_EKS_Kubernetes,205.19
2017-03-03,AWS_RDS_Database,102.44
2017-03-04,AWS_EKS_Kubernetes,190.35
2017-03-04,AWS_RDS_Database,85.36
2017-03-05,AWS_EKS_Kubernetes,225.51
2017-03-05,AWS_RDS_Database,104.81
2017-03-06,AWS_EKS_Kubernetes,171.3
2017-03-06,AWS_RDS_Database,85.45
2017-03-07,AWS_EKS_Kubernetes,185.06
2017-03-07,AWS_RDS_Database,103.6
2017-03-08,AWS_EKS_Kubernetes,193.75
2017-03-08,AWS_RDS_Database,116.17
2017-03-09,AWS_EKS_Kubernetes,201.4
2017-03-09,AWS_RDS_Database,111.35
2017-03-10,AWS_EKS_Kubernetes,212.21
2017-03-10,AWS_RDS_Database,114.49
2017-03-11,AWS_EKS_Kubernetes,164.71
2017-03-11,AWS_RDS_Database,117.06
2017-03-12,AWS_EKS_Kubernetes,963.14
2017-03-12,AWS_RDS_Database,98.37
2017-03-13,AWS_EKS_Kubernetes,182.88
2017-03-13,AWS_RDS_Database,105.34
2017-03-14,AWS_EKS_Kubernetes,157.59
2017-03-14,AWS_RDS_Database,85.16
2017-03-15,AWS_EKS_Kubernetes,165.19
2017-03-15,AWS_RDS_Database,85.55
2017-03-16,AWS_EKS_Kubernetes,168.19
2017-03-16,AWS_RDS_Database,93.83
2017-03-17,AWS_EKS_Kubernetes,197.4
2017-03-17,AWS_RDS_Database,106.7
2017-03-18,AWS_EKS_Kubernetes,169.23
2017-03-18,AWS_RDS_Database,81.63
2017-03-19,AWS_EKS_Kubernetes,177.86
2017-03-19,AWS_RDS_Database,87.08
2017-03-20,AWS_EKS_Kubernetes,162.06
2017-03-20,AWS_RDS_Database,98.43
2017-03-21,AWS_EKS_Kubernetes,186.43
2017-03-21,AWS_RDS_Database,100.14
2017-03-22,AWS_EKS_Kubernetes,153.93
2017-03-22,AWS_RDS_Database,111.98
2017-03-23,AWS_EKS_Kubernetes,158.18
2017-03-23,AWS_RDS_Database,114.94
2017-03-24,AWS_EKS_Kubernetes,156.11
2017-03-24,AWS_RDS_Database,91.08
2017-03-25,AWS_EKS_Kubernetes,224.83
2017-03-25,AWS_RDS_Database,87.38
2017-03-26,AWS_EKS_Kubernetes,187.05
2017-03-26,AWS_RDS_Database,99.38
2017-03-27,AWS_EKS_Kubernetes,186.89
2017-03-27,AWS_RDS_Database,98.5
2017-03-28,AWS_EKS_Kubernetes,153.67
2017-03-28,AWS_RDS_Database,90.1
2017-03-29,AWS_EKS_Kubernetes,239.52
2017-03-29,AWS_RDS_Database,100.47
2017-03-30,AWS_EKS_Kubernetes,160.72
2017-03-30,AWS_RDS_Database,97.9
2017-03-31,AWS_EKS_Kubernetes,174.25
2017-03-31,AWS_RDS_Database,90.77
2017-04-01,AWS_EKS_Kubernetes,152.01
2017-04-01,AWS_RDS_Database,92.88
2017-04-02,AWS_EKS_Kubernetes,182.75
2017-04-02,AWS_RDS_Database,84.79
2017-04-03,AWS_EKS_Kubernetes,209.36
2017-04-03,AWS_RDS_Database,107.16
2017-04-04,AWS_EKS_Kubernetes,199.84
2017-04-04,AWS_RDS_Database,83.48
2017-04-05,AWS_EKS_Kubernetes,208.68
2017-04-05,AWS_RDS_Database,109.82
2017-04-06,AWS_EKS_Kubernetes,162.76
2017-04-06,AWS_RDS_Database,91.35
2017-04-07,AWS_EKS_Kubernetes,214.59
2017-04-07,AWS_RDS_Database,102.83
2017-04-08,AWS_EKS_Kubernetes,248.65
2017-04-08,AWS_RDS_Database,104.23
2017-04-09,AWS_EKS_Kubernetes,160.18
2017-04-09,AWS_RDS_Database,86.11
2017-04-10,AWS_EKS_Kubernetes,166.07
2017-04-10,AWS_RDS_Database,87.46
2017-04-11,AWS_EKS_Kubernetes,167.34
2017-04-11,AWS_RDS_Database,115.87
2017-04-12,AWS_EKS_Kubernetes,877.85
2017-04-12,AWS_RDS_Database,96.42
2017-04-13,AWS_EKS_Kubernetes,189.79
2017-04-13,AWS_RDS_Database,118.78
2017-04-14,AWS_EKS_Kubernetes,231.71
2017-04-14,AWS_RDS_Database,90.32
2017-04-15,AWS_EKS_Kubernetes,216.86
2017-04-15,AWS_RDS_Database,117.18
2017-04-16,AWS_EKS_Kubernetes,207.16
2017-04-16,AWS_RDS_Database,91.2
2017-04-17,AWS_EKS_Kubernetes,168.7
2017-04-17,AWS_RDS_Database,92.95
2017-04-18,AWS_EKS_Kubernetes,200.76
2017-04-18,AWS_RDS_Database,89.7
2017-04-19,AWS_EKS_Kubernetes,211.06
2017-04-19,AWS_RDS_Database,91.55
2017-04-20,AWS_EKS_Kubernetes,165.44
2017-04-20,AWS_RDS_Database,99.25
2017-04-21,AWS_EKS_Kubernetes,155.18
2017-04-21,AWS_RDS_Database,93.46
2017-04-22,AWS_EKS_Kubernetes,156.34
2017-04-22,AWS_RDS_Database,119.6
2017-04-23,AWS_EKS_Kubernetes,230.99
2017-04-23,AWS_RDS_Database,90.19
2017-04-24,AWS_EKS_Kubernetes,226.02
2017-04-24,AWS_RDS_Database,103.83
2017-04-25,AWS_EKS_Kubernetes,191.18
2017-04-25,AWS_RDS_Database,93.95
2017-04-26,AWS_EKS_Kubernetes,233.06
2017-04-26,AWS_RDS_Database,118.6
2017-04-27,AWS_EKS_Kubernetes,223.09
2017-04-27,AWS_RDS_Database,117.53
2017-04-28,AWS_EKS_Kubernetes,156.65
2017-04-28,AWS_RDS_Database,109.64
2017-04-29,AWS_EKS_Kubernetes,234.18
2017-04-29,AWS_RDS_Database,85.59
2017-04-30,AWS_EKS_Kubernetes,170.16
2017-04-30,AWS_RDS_Database,86.55
2017-05-01,AWS_EKS_Kubernetes,231.46
2017-05-01,AWS_RDS_Database,106.61
2017-05-02,AWS_EKS_Kubernetes,185.88
2017-05-02,AWS_RDS_Database,115.09
2017-05-03,AWS_EKS_Kubernetes,231.66
2017-05-03,AWS_RDS_Database,97.57
2017-05-04,AWS_EKS_Kubernetes,196.27
2017-05-04,AWS_RDS_Database,92.06
2017-05-05,AWS_EKS_Kubernetes,200.27
2017-05-05,AWS_RDS_Database,89.29
2017-05-06,AWS_EKS_Kubernetes,188.39
2017-05-06,AWS_RDS_Database,101.74
2017-05-07,AWS_EKS_Kubernetes,212.42
2017-05-07,AWS_RDS_Database,84.68
2017-05-08,AWS_EKS_Kubernetes,212.77
2017-05-08,AWS_RDS_Database,93.4
2017-05-09,AWS_EKS_Kubernetes,229.4
2017-05-09,AWS_RDS_Database,104.8
2017-05-10,AWS_EKS_Kubernetes,239.39
2017-05-10,AWS_RDS_Database,111.54
2017-05-11,AWS_EKS_Kubernetes,181.17
2017-05-11,AWS_RDS_Database,89.94
2017-05-12,AWS_EKS_Kubernetes,153.35
2017-05-12,AWS_RDS_Database,102.8
2017-05-13,AWS_EKS_Kubernetes,237.68
2017-05-13,AWS_RDS_Database,93.68
2017-05-14,AWS_EKS_Kubernetes,161.06
2017-05-14,AWS_RDS_Database,113.86
2017-05-15,AWS_EKS_Kubernetes,189.73
2017-05-15,AWS_RDS_Database,111.89
2017-05-16,AWS_EKS_Kubernetes,172.93
2017-05-16,AWS_RDS_Database,108.89
2017-05-17,AWS_EKS_Kubernetes,214.11
2017-05-17,AWS_RDS_Database,107.76
2017-05-18,AWS_EKS_Kubernetes,175.18
2017-05-18,AWS_RDS_Database,93.83
2017-05-19,AWS_EKS_Kubernetes,240.85
2017-05-19,AWS_RDS_Database,103.34
2017-05-20,AWS_EKS_Kubernetes,196.2
2017-05-20,AWS_RDS_Database,117.89
2017-05-21,AWS_EKS_Kubernetes,208.62
2017-05-21,AWS_RDS_Database,100.24
2017-05-22,AWS_EKS_Kubernetes,151.81
2017-05-22,AWS_RDS_Database,114.88
2017-05-23,AWS_EKS_Kubernetes,206.51
2017-05-23,AWS_RDS_Database,107.87
2017-05-24,AWS_EKS_Kubernetes,220.72
2017-05-24,AWS_RDS_Database,86.1
2017-05-25,AWS_EKS_Kubernetes,210.67
2017-05-25,AWS_RDS_Database,96.97
2017-05-26,AWS_EKS_Kubernetes,243.44
2017-05-26,AWS_RDS_Database,117.02
2017-05-27,AWS_EKS_Kubernetes,161.32
2017-05-27,AWS_RDS_Database,119.39
2017-05-28,AWS_EKS_Kubernetes,162.47
2017-05-28,AWS_RDS_Database,116.83
2017-05-29,AWS_EKS_Kubernetes,201.88
2017-05-29,AWS_RDS_Database,103.65
2017-05-30,AWS_EKS_Kubernetes,155.48
2017-05-30,AWS_RDS_Database,93.41
2017-05-31,AWS_EKS_Kubernetes,150.46
2017-05-31,AWS_RDS_Database,93.34
2017-06-01,AWS_EKS_Kubernetes,203.74
2017-06-01,AWS_RDS_Database,116.79
2017-06-02,AWS_EKS_Kubernetes,184.7
2017-06-02,AWS_RDS_Database,109.5
2017-06-03,AWS_EKS_Kubernetes,172.46
2017-06-03,AWS_RDS_Database,98.1
2017-06-04,AWS_EKS_Kubernetes,167.64
2017-06-04,AWS_RDS_Database,99.93
2017-06-05,AWS_EKS_Kubernetes,241.48
2017-06-05,AWS_RDS_Database,94.5
2017-06-06,AWS_EKS_Kubernetes,213.23
2017-06-06,AWS_RDS_Database,80.52
2017-06-07,AWS_EKS_Kubernetes,167.8
2017-06-07,AWS_RDS_Database,118.44
2017-06-08,AWS_EKS_Kubernetes,1054.3
2017-06-08,AWS_RDS_Database,83.41
2017-06-09,AWS_EKS_Kubernetes,209.54
2017-06-09,AWS_RDS_Database,82.68
2017-06-10,AWS_EKS_Kubernetes,170.99
2017-06-10,AWS_RDS_Database,115.92
2017-06-11,AWS_EKS_Kubernetes,169.07
2017-06-11,AWS_RDS_Database,81.46
2017-06-12,AWS_EKS_Kubernetes,206.48
2017-06-12,AWS_RDS_Database,82.63
2017-06-13,AWS_EKS_Kubernetes,195.33
2017-06-13,AWS_RDS_Database,100.98
2017-06-14,AWS_EKS_Kubernetes,190.08
2017-06-14,AWS_RDS_Database,102.39
2017-06-15,AWS_EKS_Kubernetes,168.19
2017-06-15,AWS_RDS_Database,114.47
2017-06-16,AWS_EKS_Kubernetes,187.33
2017-06-16,AWS_RDS_Database,90.83
2017-06-17,AWS_EKS_Kubernetes,190.87
2017-06-17,AWS_RDS_Database,81.02
2017-06-18,AWS_EKS_Kubernetes,221.6
2017-06-18,AWS_RDS_Database,106.36
2017-06-19,AWS_EKS_Kubernetes,172.2
2017-06-19,AWS_RDS_Database,89.24
2017-06-20,AWS_EKS_Kubernetes,151.97
2017-06-20,AWS_RDS_Database,84.16
2017-06-21,AWS_EKS_Kubernetes,167.85
